id_x,id_y
4021,3975
4027,4093
4029,4093
4031,4033
4033,4031
4033,4035
4035,4033
4035,4095
4049,4000
4054,9207
4064,4007
4070,4007
4080,4089
4089,4080
4093,4027
4093,4029
4095,4035
4107,4373
4115,4527
4128,4158
4145,4505
4147,4196
4147,4252
4149,4191
4151,4348
4154,4196
4158,4128
4162,4209
4162,4275
4164,4392
4168,4294
4181,4185
4181,4298
4185,4181
4185,4298
4187,4286
4191,4149
4196,4147
4196,4154
4196,4252
4209,4162
4213,4369
4213,4515
4215,4249
4249,4215
4252,4147
4252,4196
4275,4162
4277,4288
4281,4517
4286,4187
4288,4277
4294,4168
4298,4181
4298,4185
4311,4313
4313,4311
4315,4352
4331,4333
4331,4425
4333,4331
4333,4425
4369,4213
4369,4515
4348,4151
4352,4315
4366,4421
4366,4513
4373,4107
4390,4476
4392,4164
4399,4490
4401,4450
4403,4410
4410,4403
4410,4444
4415,4492
4421,4366
4421,4513
4425,4331
4425,4333
4438,4537
4444,4410
4450,4401
4463,4574
4476,4390
4490,4399
4492,4415
4505,4145
4509,4511
4511,4509
4513,4366
4513,4421
4515,4213
4515,4369
4517,4281
4527,4115
4537,4438
4574,4463
4576,4577
4577,4576
4596,4778
4596,4780
4598,4670
4604,4659
4610,4739
4621,4623
4623,4621
4632,4685
4634,4713
4636,4717
4644,4741
4644,4753
4667,4669
4667,4728
4667,4749
4667,4751
4669,4667
4669,4728
4669,4749
4669,4751
4670,4598
4685,4632
4687,4689
4659,4604
4661,4663
4663,4661
4689,4687
4691,4693
4693,4691
4703,4706
4706,4703
4713,4634
4717,4636
4724,4737
4726,4739
4728,4667
4728,4669
4728,4749
4728,4751
4737,4724
4739,4610
4739,4726
4739,4743
4739,4746
4741,4644
4741,4753
4743,4739
4746,4739
4749,4667
4749,4669
4749,4728
4749,4751
4751,4667
4751,4669
4751,4728
4751,4749
4753,4644
4753,4741
4766,4768
4768,4766
4770,4772
4772,4770
4774,4776
4776,4774
4778,4596
4778,4780
4780,4596
4780,4778
4782,4784
4784,4782
4786,4788
4788,4786
4790,4792
4790,4794
4792,4790
4794,4790
4796,4798
4796,4799
4798,4796
4798,4799
4799,4796
4799,4798
4801,4803
4803,4801
4812,4937
4814,4822
4814,4899
4818,4868
4822,4814
4822,1
4822,25
4850,4862
4860,59
4862,4850
4862,4916
4868,4818
4881,4968
4889,8743
4899,4814
4914,4939
4914,5013
4916,4862
4922,4960
4924,4925
4924,4968
4925,4924
4925,4968
4978,4976
4937,4812
4939,4914
4939,5011
4943,5015
4955,4970
4960,4922
4962,4964
4964,4962
4968,4881
4968,4924
4968,4925
4970,4955
4976,4978
4982,4984
4984,4982
4986,4988
4986,679
4988,4986
